pixel_at(9282,28)$should_be_brighter_than pixel_at(099,81)G
pixel_at(2,0)8should_be_brighter_than pixel_at(895451,99)
pixel_at(4981,8)Wshould_be_brighter_than pixel_at(59459,998)
pixel_at(2,8)9should_be_brighter_than pixel_at(343,0729)
pixel_at(89,5)qshould_be_brighter_than pixel_at(7,1)DI7;
pixel_at(88798,399)jshould_be_brighter_than pixel_at(5,86)6Jo4
pixel_at(4,80)Gshould_be_brighter_than pixel_at(5,9)g
pixel_at(93,2)@should_be_brighter_than pixel_at(51,17)
pixel_at(1,99)should_be_brighter_than pixel_at(5,61129)
pixel_at(99,0)1should_be_brighter_than pixel_at(90,128)hKg
pixel_at(9,83)	should_be_brighter_than pixel_at(199,9)
pixel_at(91,9)Eshould_be_brighter_than pixel_at(9,99)
pixel_at(9,3)yshould_be_brighter_than pixel_at(95,6)
pixel_at(88892,12)[should_be_brighter_than pixel_at(9,5)){
pixel_at(093,829)bshould_be_brighter_than pixel_at(89,989)R!
pixel_at(496,2)(should_be_brighter_than pixel_at(7,88)
pixel_at(5,9)vshould_be_brighter_than pixel_at(698523,8987)
pixel_at(8,38)should_be_brighter_than pixel_at(81,9)D
pixel_at(3,4)Bshould_be_brighter_than pixel_at(7,948)
pixel_at(9,86)Ishould_be_brighter_than pixel_at(8,6)
pixel_at(7,97)@should_be_brighter_than pixel_at(7138,48)
pixel_at(9,6)lshould_be_brighter_than pixel_at(59,9)
pixel_at(919,8)should_be_brighter_than pixel_at(0,0)$
pixel_at(9,25329)Ushould_be_brighter_than pixel_at(39,5)
pixel_at(4,5)eshould_be_brighter_than pixel_at(2,178)R
pixel_at(6,9)gshould_be_brighter_than pixel_at(989,0)
pixel_at(9,98)should_be_brighter_than pixel_at(8,58)
pixel_at(8,4)Pshould_be_brighter_than pixel_at(52,70885)<
pixel_at(64,9)should_be_brighter_than pixel_at(95,0) 
pixel_at(309572,28)should_be_brighter_than pixel_at(9,9959)
pixel_at(79,997)should_be_brighter_than pixel_at(8,881)`z
pixel_at(8197,5)~should_be_brighter_than pixel_at(94,1)
pixel_at(5,9)wshould_be_brighter_than pixel_at(8,639)u3&\aE
pixel_at(92,9))should_be_brighter_than pixel_at(1,989)
pixel_at(882,2)should_be_brighter_than pixel_at(9,13)
pixel_at(9,76)lshould_be_brighter_than pixel_at(7,8)f
pixel_at(8,23)9should_be_brighter_than pixel_at(75,758)6
pixel_at(939,8)zshould_be_brighter_than pixel_at(8,8)
pixel_at(83,0)should_be_brighter_than pixel_at(8588,80)
pixel_at(6,8)should_be_brighter_than pixel_at(8,4453)
pixel_at(7,829)cshould_be_brighter_than pixel_at(9848,989)+
pixel_at(998,4)	should_be_brighter_than pixel_at(8608,63988984719)
pixel_at(3,8)Lshould_be_brighter_than pixel_at(8,644)
pixel_at(8,9882)should_be_brighter_than pixel_at(7259,4)
pixel_at(2,7978),should_be_brighter_than pixel_at(986,89)
pixel_at(28,4)5should_be_brighter_than pixel_at(17,8)
pixel_at(9322,83968)wshould_be_brighter_than pixel_at(7,7)8
pixel_at(0,99)should_be_brighter_than pixel_at(8,8)1k
pixel_at(5,3)should_be_brighter_than pixel_at(28,8)

pixel_at(8,10)vshould_be_brighter_than pixel_at(92,31)
pixel_at(998,0)]should_be_brighter_than pixel_at(899,1)gX=
pixel_at(89,988)should_be_brighter_than pixel_at(80,09)
pixel_at(9,9))should_be_brighter_than pixel_at(0,99)8
pixel_at(899,321)should_be_brighter_than pixel_at(12,37)o
pixel_at(0,0)should_be_brighter_than pixel_at(85,9)[l'{
pixel_at(6,08)(should_be_brighter_than pixel_at(8,38)
pixel_at(8,6)Sshould_be_brighter_than pixel_at(82,59)9H
pixel_at(4,71)ushould_be_brighter_than pixel_at(7,88)
pixel_at(3,99)Hshould_be_brighter_than pixel_at(29,28)
pixel_at(9,8)Oshould_be_brighter_than pixel_at(88899,1)s&;4h
pixel_at(8,6)0should_be_brighter_than pixel_at(7,626)q\0}H
pixel_at(9,92)should_be_brighter_than pixel_at(5,688)
pixel_at(88938,020)+should_be_brighter_than pixel_at(8,850)
pixel_at(699484,952)should_be_brighter_than pixel_at(9488,2739065)S
pixel_at(5,9)eshould_be_brighter_than pixel_at(8,9559)
pixel_at(9,9)>should_be_brighter_than pixel_at(8,8)
pixel_at(0,2)\should_be_brighter_than pixel_at(5890,90697)
pixel_at(0,883)0should_be_brighter_than pixel_at(92,23)ciI(f*0
pixel_at(7679,6) should_be_brighter_than pixel_at(98,9991)
pixel_at(8,89)hshould_be_brighter_than pixel_at(83,888)4
pixel_at(9,99)tshould_be_brighter_than pixel_at(3082,89)
pixel_at(2,733);should_be_brighter_than pixel_at(9,9)#
pixel_at(0,6778)`should_be_brighter_than pixel_at(8,6)R
pixel_at(9849,854889)]should_be_brighter_than pixel_at(8,3)
pixel_at(8,9)should_be_brighter_than pixel_at(0,0)
pixel_at(999,8)-should_be_brighter_than pixel_at(7,125)
pixel_at(8,97)Ishould_be_brighter_than pixel_at(245,8)g
pixel_at(4894599,78)5should_be_brighter_than pixel_at(1,25)6
pixel_at(280,9)Ashould_be_brighter_than pixel_at(3,24)`
pixel_at(8,8)&should_be_brighter_than pixel_at(589,1)
pixel_at(12,9)vshould_be_brighter_than pixel_at(9,75)
pixel_at(29,19)ashould_be_brighter_than pixel_at(8,9)~
pixel_at(9,91)Jshould_be_brighter_than pixel_at(97,5)
pixel_at(10,9)Ushould_be_brighter_than pixel_at(6,85)j
pixel_at(7,4)Rshould_be_brighter_than pixel_at(0,8)
pixel_at(08,8)Jshould_be_brighter_than pixel_at(98,83)
pixel_at(944,3)bshould_be_brighter_than pixel_at(2900,84)
pixel_at(98,8)should_be_brighter_than pixel_at(495,01)
pixel_at(88,92)lshould_be_brighter_than pixel_at(39,1)
pixel_at(4399,28848)ishould_be_brighter_than pixel_at(9,3)[N|]
pixel_at(91,2)should_be_brighter_than pixel_at(549,89)
pixel_at(82,5)oshould_be_brighter_than pixel_at(41,9)
pixel_at(3,235)+should_be_brighter_than pixel_at(9,0)
pixel_at(99,409):should_be_brighter_than pixel_at(09,2)
pixel_at(8,42)!should_be_brighter_than pixel_at(888,7)]{
pixel_at(91,8)tshould_be_brighter_than pixel_at(988,1)
pixel_at(6,8)/should_be_brighter_than pixel_at(5889,849)
pixel_at(8,6)Xshould_be_brighter_than pixel_at(3,0)
pixel_at(8,9977159)ishould_be_brighter_than pixel_at(39,8)
pixel_at(2,8)Kshould_be_brighter_than pixel_at(95,999)
pixel_at(43,98) should_be_brighter_than pixel_at(0,88)
pixel_at(4,9)Wshould_be_brighter_than pixel_at(9,5)
pixel_at(85863880,8)should_be_brighter_than pixel_at(56808989981,883989109)vQ
pixel_at(98,89)bshould_be_brighter_than pixel_at(9,5)
pixel_at(7,1)/should_be_brighter_than pixel_at(6,98)
pixel_at(998,8)%should_be_brighter_than pixel_at(3,858806)p

pixel_at(8,3)ashould_be_brighter_than pixel_at(9,0)t
pixel_at(48,2396)Cshould_be_brighter_than pixel_at(2,3)
pixel_at(5,18)should_be_brighter_than pixel_at(8,27)	
pixel_at(6,79898)5should_be_brighter_than pixel_at(7,00)
pixel_at(7,99)ushould_be_brighter_than pixel_at(8998,6)
pixel_at(15,5)should_be_brighter_than pixel_at(814,29)(e
pixel_at(0,08)should_be_brighter_than pixel_at(4,898)
pixel_at(9,1)should_be_brighter_than pixel_at(66,1)l(
pixel_at(1,519)Bshould_be_brighter_than pixel_at(2,88)U
pixel_at(9,9339)should_be_brighter_than pixel_at(315,708)
pixel_at(89,99)eshould_be_brighter_than pixel_at(7,8983898)
pixel_at(2,5))should_be_brighter_than pixel_at(16,28)o2K
pixel_at(9,6)fshould_be_brighter_than pixel_at(8,5)
pixel_at(028,6)should_be_brighter_than pixel_at(88,1)z
pixel_at(8,3)Qshould_be_brighter_than pixel_at(8926,4)$@
pixel_at(9,1)8should_be_brighter_than pixel_at(889,4)U
pixel_at(6,8)should_be_brighter_than pixel_at(2,3)
pixel_at(498,58)lshould_be_brighter_than pixel_at(588,45809)
pixel_at(6694,0)oshould_be_brighter_than pixel_at(4,9)
pixel_at(988,5)(should_be_brighter_than pixel_at(79809998,885)P
pixel_at(9,34)ashould_be_brighter_than pixel_at(52,8)
pixel_at(6,90)0should_be_brighter_than pixel_at(9,85)f
pixel_at(9,998)cshould_be_brighter_than pixel_at(87,99)e
pixel_at(95,809) should_be_brighter_than pixel_at(95,6)t
pixel_at(9726192,52)should_be_brighter_than pixel_at(889,8)F
pixel_at(4,4)*should_be_brighter_than pixel_at(6,81)Ulka
pixel_at(091,92)qshould_be_brighter_than pixel_at(09,39)0:T
pixel_at(2,390)+should_be_brighter_than pixel_at(9,9)?D
pixel_at(89,7)ishould_be_brighter_than pixel_at(8065,686962).fe
pixel_at(6,9)]should_be_brighter_than pixel_at(558,7982).
pixel_at(891,013)7should_be_brighter_than pixel_at(1,9)w7
pixel_at(6,94)Fshould_be_brighter_than pixel_at(82,986)
pixel_at(1,0907)should_be_brighter_than pixel_at(90,9)
pixel_at(97861,9)<should_be_brighter_than pixel_at(925,5949)
pixel_at(3,8)_should_be_brighter_than pixel_at(5917,8)
pixel_at(9589,9)fshould_be_brighter_than pixel_at(798,97)
pixel_at(88,4)&should_be_brighter_than pixel_at(9,2)WAR
pixel_at(8658991,9)should_be_brighter_than pixel_at(7,6)
pixel_at(99,1848)should_be_brighter_than pixel_at(9,88)Pl
pixel_at(7,878908),should_be_brighter_than pixel_at(4,858)6b
pixel_at(84,9)should_be_brighter_than pixel_at(99,3)%
pixel_at(09,88862)\should_be_brighter_than pixel_at(9,9)
pixel_at(98,7)should_be_brighter_than pixel_at(1,6)
pixel_at(8,9299)should_be_brighter_than pixel_at(80,9)p
pixel_at(49,29)Oshould_be_brighter_than pixel_at(6,4)
pixel_at(8,8)^should_be_brighter_than pixel_at(89,7942)
pixel_at(9,0)Fshould_be_brighter_than pixel_at(82,884)z 
pixel_at(5,0)should_be_brighter_than pixel_at(9,0)
pixel_at(9,9269938)Zshould_be_brighter_than pixel_at(1,81)
pixel_at(4,86)should_be_brighter_than pixel_at(49,9)
pixel_at(0880,997)bshould_be_brighter_than pixel_at(889,9)
pixel_at(899,8)cshould_be_brighter_than pixel_at(6,1363)
pixel_at(0,35){should_be_brighter_than pixel_at(893,99)/l
pixel_at(6,90)+should_be_brighter_than pixel_at(9,86)
pixel_at(8,9)1should_be_brighter_than pixel_at(84,10)
pixel_at(9,82),should_be_brighter_than pixel_at(9,3)
pixel_at(8341,5)&should_be_brighter_than pixel_at(56,8)
pixel_at(4488,0)should_be_brighter_than pixel_at(1,8)ue
pixel_at(9,4)Sshould_be_brighter_than pixel_at(472946,6)xjm
pixel_at(899,6)should_be_brighter_than pixel_at(7,70)y 
pixel_at(4497,9)should_be_brighter_than pixel_at(4,2)
pixel_at(9,9)9should_be_brighter_than pixel_at(11,3)U
pixel_at(8,2)0should_be_brighter_than pixel_at(08,58)
pixel_at(3,9)]should_be_brighter_than pixel_at(7821,88)*,Bc
pixel_at(6,5)>should_be_brighter_than pixel_at(9,88)Dr
pixel_at(9,89)dshould_be_brighter_than pixel_at(9898,9)nzT}g
pixel_at(94,9)Fshould_be_brighter_than pixel_at(1,62)
pixel_at(29,97)should_be_brighter_than pixel_at(6696,8)JG
pixel_at(8,0)4should_be_brighter_than pixel_at(97,870207)Mz
pixel_at(94,99)Oshould_be_brighter_than pixel_at(1,7852)
pixel_at(94,310832)should_be_brighter_than pixel_at(8,8)B
pixel_at(2,9)Tshould_be_brighter_than pixel_at(9,897)
pixel_at(6,89998)0should_be_brighter_than pixel_at(3,17)
pixel_at(1,8989)5should_be_brighter_than pixel_at(81,6)
pixel_at(90,49239808)*should_be_brighter_than pixel_at(4,18)
pixel_at(5,1310)ashould_be_brighter_than pixel_at(8397,82)K
pixel_at(9,77)should_be_brighter_than pixel_at(66,4)
pixel_at(18,9)yshould_be_brighter_than pixel_at(89,88)Y
pixel_at(4942,8)should_be_brighter_than pixel_at(94,6)
pixel_at(08,99)ishould_be_brighter_than pixel_at(9,7)
pixel_at(8,9)Fshould_be_brighter_than pixel_at(9,8)
pixel_at(888,8);should_be_brighter_than pixel_at(0957,89)
pixel_at(89,529988)Vshould_be_brighter_than pixel_at(9,41){pq
pixel_at(0,9)Pshould_be_brighter_than pixel_at(3,5)
pixel_at(8,5982)fshould_be_brighter_than pixel_at(0,101)K
pixel_at(57,9)should_be_brighter_than pixel_at(20,94)
pixel_at(89,9)should_be_brighter_than pixel_at(39,891)
pixel_at(5,821589)Wshould_be_brighter_than pixel_at(98,99)v
pixel_at(648948,569)oshould_be_brighter_than pixel_at(2,88)
pixel_at(809,37)mshould_be_brighter_than pixel_at(0,9)\
pixel_at(2,9)1should_be_brighter_than pixel_at(3588,9)3
pixel_at(84,575)should_be_brighter_than pixel_at(5,9) }
pixel_at(1,86)8should_be_brighter_than pixel_at(3,296)
pixel_at(118,4)!should_be_brighter_than pixel_at(5,810)
pixel_at(9,2).should_be_brighter_than pixel_at(04,1)
pixel_at(6899,98)should_be_brighter_than pixel_at(81,0)

pixel_at(8,509)pshould_be_brighter_than pixel_at(9,99)
pixel_at(1,42)bshould_be_brighter_than pixel_at(9,3991)
pixel_at(9904,5)kshould_be_brighter_than pixel_at(8,96)
pixel_at(99084,15)qshould_be_brighter_than pixel_at(2,97)
pixel_at(7,0)Qshould_be_brighter_than pixel_at(9,70)
pixel_at(00,7)should_be_brighter_than pixel_at(8,9)
pixel_at(96,987)bshould_be_brighter_than pixel_at(793,8)
pixel_at(88,7)should_be_brighter_than pixel_at(1939,78)
pixel_at(4,5)should_be_brighter_than pixel_at(5,998)
pixel_at(9,8)should_be_brighter_than pixel_at(9,594);.
:v-
pixel_at(8,48)should_be_brighter_than pixel_at(47,4284)
pixel_at(06,2)should_be_brighter_than pixel_at(6,2)}
pixel_at(796,8444)should_be_brighter_than pixel_at(580,89)X
pixel_at(89,5)should_be_brighter_than pixel_at(0,9288)
pixel_at(328,80)should_be_brighter_than pixel_at(8,254)Q
pixel_at(1,9)pshould_be_brighter_than pixel_at(9,998)
pixel_at(0,88)should_be_brighter_than pixel_at(8,98)
pixel_at(6979,87679896)!should_be_brighter_than pixel_at(9,99){
pixel_at(699,8)=should_be_brighter_than pixel_at(9,32)
pixel_at(846,9)]should_be_brighter_than pixel_at(842,9)
pixel_at(999,4)5should_be_brighter_than pixel_at(2,3)^
pixel_at(9,8)should_be_brighter_than pixel_at(8,9)
pixel_at(930,91)<should_be_brighter_than pixel_at(4,9)
pixel_at(4,4)gshould_be_brighter_than pixel_at(3,33)
pixel_at(657,3)should_be_brighter_than pixel_at(95,3)=
pixel_at(3,9)should_be_brighter_than pixel_at(486,8)
pixel_at(8,83)Zshould_be_brighter_than pixel_at(989,00)
pixel_at(2,988)^should_be_brighter_than pixel_at(90,2)
pixel_at(9,8) should_be_brighter_than pixel_at(7,9)d`
pixel_at(2,8)Zshould_be_brighter_than pixel_at(88,91)f}|<
pixel_at(89,86)should_be_brighter_than pixel_at(8,8)
pixel_at(190947,94532)hshould_be_brighter_than pixel_at(4,59)
pixel_at(889,29)5should_be_brighter_than pixel_at(7,9)
pixel_at(5,78761)_should_be_brighter_than pixel_at(8,9)l
pixel_at(3,7)cshould_be_brighter_than pixel_at(9,8)
pixel_at(0,999)(should_be_brighter_than pixel_at(944,088)
pixel_at(8,29)should_be_brighter_than pixel_at(999,58)c
pixel_at(9,88):should_be_brighter_than pixel_at(4,64)
pixel_at(98,1)_should_be_brighter_than pixel_at(8769,0)
pixel_at(8,898)	should_be_brighter_than pixel_at(93,59389)
pixel_at(7,59)>should_be_brighter_than pixel_at(9,9)_
pixel_at(2,1)should_be_brighter_than pixel_at(8,20)
pixel_at(89,384989)should_be_brighter_than pixel_at(485,979)
pixel_at(8,6)ushould_be_brighter_than pixel_at(49,8)
pixel_at(90158,9)<should_be_brighter_than pixel_at(9,9)IvV
pixel_at(942,9699)nshould_be_brighter_than pixel_at(74836091,0)
pixel_at(9,9)_should_be_brighter_than pixel_at(98,2437)
pixel_at(9,98)should_be_brighter_than pixel_at(8,7)
pixel_at(990190,29)should_be_brighter_than pixel_at(982,499)J
pixel_at(69,5349)xshould_be_brighter_than pixel_at(0917,27)]
pixel_at(98,19)~should_be_brighter_than pixel_at(889,799)H|[=8$
pixel_at(9,88)nshould_be_brighter_than pixel_at(9,7)R,j
pixel_at(6,8)Fshould_be_brighter_than pixel_at(940,0)/
pixel_at(340989,38304)Bshould_be_brighter_than pixel_at(1,94)
pixel_at(7,87)Wshould_be_brighter_than pixel_at(8,98128)
pixel_at(9,88)|should_be_brighter_than pixel_at(6,6)
pixel_at(3452,3)Rshould_be_brighter_than pixel_at(2,468)
pixel_at(88,63)~should_be_brighter_than pixel_at(3,0)H#e
pixel_at(181888,8)8should_be_brighter_than pixel_at(1,9)ir~7l
pixel_at(68,8)should_be_brighter_than pixel_at(1,8)
pixel_at(6,289)$should_be_brighter_than pixel_at(8,348099)
pixel_at(79,8)Cshould_be_brighter_than pixel_at(4699,73)r
pixel_at(7,9)Jshould_be_brighter_than pixel_at(3814,8)W
pixel_at(6,99)should_be_brighter_than pixel_at(05,8)
pixel_at(1,4799)bshould_be_brighter_than pixel_at(9,33)
pixel_at(8,982)should_be_brighter_than pixel_at(9,9)	
pixel_at(9,55)Qshould_be_brighter_than pixel_at(8,86822)P
pixel_at(89,9)Tshould_be_brighter_than pixel_at(71,8038)
pixel_at(8,55)Fshould_be_brighter_than pixel_at(9,921894)
pixel_at(8590,82)should_be_brighter_than pixel_at(54,4)
pixel_at(05,5)should_be_brighter_than pixel_at(98,9)oB>
pixel_at(98,46)should_be_brighter_than pixel_at(368,88)C/q
pixel_at(80,2586)should_be_brighter_than pixel_at(4,1)@8J
pixel_at(8,3)should_be_brighter_than pixel_at(68883,3)
pixel_at(8,9)should_be_brighter_than pixel_at(5,2)

pixel_at(298,19)should_be_brighter_than pixel_at(8,9)
pixel_at(8,0)Pshould_be_brighter_than pixel_at(48,1)
pixel_at(9,9),should_be_brighter_than pixel_at(8,9)
pixel_at(818,9)should_be_brighter_than pixel_at(8894009,59)
pixel_at(17,8)should_be_brighter_than pixel_at(7,8)\a
pixel_at(1829,6)should_be_brighter_than pixel_at(9,3)*
pixel_at(99598589,9)Gshould_be_brighter_than pixel_at(83,1)
pixel_at(8,2880)/should_be_brighter_than pixel_at(29,7)8t
pixel_at(682,92719)should_be_brighter_than pixel_at(089,74)
pixel_at(8,8)/should_be_brighter_than pixel_at(8,99)ATg
pixel_at(198,9992)zshould_be_brighter_than pixel_at(1,6)
pixel_at(1,2)+should_be_brighter_than pixel_at(8,99894)
pixel_at(83,556)Qshould_be_brighter_than pixel_at(7889,8965)
pixel_at(8,3)should_be_brighter_than pixel_at(93,2867)RN6
pixel_at(90,87)should_be_brighter_than pixel_at(819,9888)W<
pixel_at(3,884)Bshould_be_brighter_than pixel_at(3099650,60)
pixel_at(4,98)Rshould_be_brighter_than pixel_at(88,196)2
pixel_at(85,5)should_be_brighter_than pixel_at(8,4)D
pixel_at(36,0)should_be_brighter_than pixel_at(82,629)
pixel_at(8,18)Mshould_be_brighter_than pixel_at(64,289694)^
pixel_at(098,5)|should_be_brighter_than pixel_at(988,29)ZamJ
pixel_at(9,99)*should_be_brighter_than pixel_at(39,87)
pixel_at(80,9)Wshould_be_brighter_than pixel_at(2,538)
pixel_at(9,3)should_be_brighter_than pixel_at(32,94996972)
pixel_at(8,19)qshould_be_brighter_than pixel_at(98,8)
pixel_at(59,564)Mshould_be_brighter_than pixel_at(9,8)
pixel_at(9,704818869)Ishould_be_brighter_than pixel_at(3,1835)
pixel_at(09,2189)#should_be_brighter_than pixel_at(5,6)
pixel_at(468,1)kshould_be_brighter_than pixel_at(626,3)C
pixel_at(9,9)$should_be_brighter_than pixel_at(12,39)
pixel_at(34,5823)/should_be_brighter_than pixel_at(9,33)
pixel_at(2,74)wshould_be_brighter_than pixel_at(879,9)=Lu
pixel_at(9,9)oshould_be_brighter_than pixel_at(98,859)z
pixel_at(9,2)ushould_be_brighter_than pixel_at(4996,0)
pixel_at(7,928036)Rshould_be_brighter_than pixel_at(0682807999,8934062)1
pixel_at(88,9)Sshould_be_brighter_than pixel_at(8,4)
pixel_at(98,382)6should_be_brighter_than pixel_at(6,7)ci
pixel_at(159,9)Ashould_be_brighter_than pixel_at(892,96)*0
pixel_at(969,49)+should_be_brighter_than pixel_at(93,5)
pixel_at(1,8999)zshould_be_brighter_than pixel_at(98,19)i
pixel_at(5889,9019)Sshould_be_brighter_than pixel_at(67,6)
pixel_at(8,8)fshould_be_brighter_than pixel_at(7,9485)
pixel_at(6448,5)cshould_be_brighter_than pixel_at(89,8)Cl
pixel_at(1,118)Yshould_be_brighter_than pixel_at(0,8)y\"
pixel_at(1339462,32)'should_be_brighter_than pixel_at(8429,2)?*
pixel_at(7,1){should_be_brighter_than pixel_at(94,9)
pixel_at(2,29)should_be_brighter_than pixel_at(5,986)=<
pixel_at(4860656,38)should_be_brighter_than pixel_at(8,943088)
pixel_at(004,5)	should_be_brighter_than pixel_at(6,9)
pixel_at(9,8196)dshould_be_brighter_than pixel_at(3,48)L
pixel_at(690,181)dshould_be_brighter_than pixel_at(548,0)
pixel_at(9,8)hshould_be_brighter_than pixel_at(59,990)d
pixel_at(3,9)should_be_brighter_than pixel_at(99,3968839)
pixel_at(6,886)0should_be_brighter_than pixel_at(98833,9180)6
pixel_at(8,9)Ashould_be_brighter_than pixel_at(8,799)*
pixel_at(7,9)&should_be_brighter_than pixel_at(88,99289)G
pixel_at(62,37)should_be_brighter_than pixel_at(16,7299)
pixel_at(814019,39)should_be_brighter_than pixel_at(308,2)
pixel_at(818,2))should_be_brighter_than pixel_at(909,8)
pixel_at(635,6)4should_be_brighter_than pixel_at(1781,24)
pixel_at(4,9) should_be_brighter_than pixel_at(9,988081)
pixel_at(4,430)(should_be_brighter_than pixel_at(983,6)
pixel_at(17,2)should_be_brighter_than pixel_at(299,9)
pixel_at(788,983)should_be_brighter_than pixel_at(6,8288392883)
pixel_at(69,8)should_be_brighter_than pixel_at(58,9)E
pixel_at(8,3)Jshould_be_brighter_than pixel_at(8281,5)
pixel_at(88,693)Tshould_be_brighter_than pixel_at(8,99289)5-
pixel_at(822,4)should_be_brighter_than pixel_at(829,799)
pixel_at(2,99968)Fshould_be_brighter_than pixel_at(6,9)I&{
pixel_at(4,2889)^should_be_brighter_than pixel_at(6,8)#
pixel_at(39,53)xshould_be_brighter_than pixel_at(6,49788983)
pixel_at(09,8)ishould_be_brighter_than pixel_at(9,1)
pixel_at(9,9)|should_be_brighter_than pixel_at(0,986)
pixel_at(8,05)kshould_be_brighter_than pixel_at(98,86)`
pixel_at(4,98))should_be_brighter_than pixel_at(8,92)8
pixel_at(8,9669)*should_be_brighter_than pixel_at(90,893)7
